amostras	ano	ensaio	repeticao	peak_1	trough_1	breakdown	final_visc	setback	peak_time	pasting_temp	umidade_percent
BGM-0068	2011	BR.BAG1.PT.11.EA1	1	4509.00	1840.00	2669.00	2811.00	990.00	70.20	NA	NA
BGM-0068	2011	BR.BAG1.PT.11.EA1	2	4539.00	1839.00	2700.00	2777.00	951.00	70.05	NA	NA
BGM-0069	2011	BR.BAG1.PT.11.EA1	1	4318.00	1751.00	2567.00	2791.00	1080.00	70.20	NA	NA
BGM-0069	2011	BR.BAG1.PT.11.EA1	2	4328.00	1793.00	2535.00	2844.00	1052.00	70.95	NA	NA
BGM-0070	2011	BR.BAG1.PT.11.EA1	1	4204.00	1563.00	2641.00	2369.00	847.00	68.60	NA	NA
BGM-0070	2011	BR.BAG1.PT.11.EA1	2	4191.00	1563.00	2628.00	2381.00	829.00	67.80	NA	NA
BGM-0072	2011	BR.BAG1.PT.11.EA1	1	4107.00	1773.00	2334.00	2789.00	1016.00	70.20	NA	NA
BGM-0072	2011	BR.BAG1.PT.11.EA1	2	4078.00	1731.00	2347.00	2786.00	1070.00	69.35	NA	NA
BGM-0073	2011	BR.BAG1.PT.11.EA1	1	4530.00	2031.00	2499.00	3114.00	1135.00	70.95	NA	NA
BGM-0073	2011	BR.BAG1.PT.11.EA1	2	4486.00	2050.00	2436.00	3144.00	1119.00	70.85	NA	NA
BGM-0074	2011	BR.BAG1.PT.11.EA1	1	4943.75	1911.25	3032.50	3147.50	1297.00	71.01	NA	NA
BGM-0074	2011	BR.BAG1.PT.11.EA1	2	5025.80	1911.20	3114.60	3160.80	1302.60	70.69	NA	NA
BGM-0075	2011	BR.BAG1.PT.11.EA1	1	4117.00	1696.00	2421.00	2655.00	959.00	70.25	NA	NA
BGM-0075	2011	BR.BAG1.PT.11.EA1	2	4210.00	1749.00	2461.00	2733.00	986.00	70.20	NA	NA
BGM-0076	2011	BR.BAG1.PT.11.EA1	1	5035.83	1848.00	3187.83	2673.83	874.67	70.01	NA	NA
BGM-0076	2011	BR.BAG1.PT.11.EA1	2	5038.71	1867.14	3171.57	2675.57	857.57	70.41	NA	NA
BGM-0077	2011	BR.BAG1.PT.11.EA1	1	4832.00	1893.00	2939.00	2846.00	997.00	66.25	NA	NA
BGM-0077	2011	BR.BAG1.PT.11.EA1	2	3808.00	1441.00	2367.00	2364.00	930.00	67.80	NA	NA
BGM-0078	2011	BR.BAG1.PT.11.EA1	1	4360.00	1741.00	2619.00	2782.00	1063.00	71.00	NA	NA
BGM-0078	2011	BR.BAG1.PT.11.EA1	2	4402.00	1771.00	2631.00	2851.00	1107.00	71.00	NA	NA
BGM-0079	2011	BR.BAG1.PT.11.EA1	1	4900.50	1698.50	3202.00	2653.83	972.67	70.02	NA	NA
BGM-0079	2011	BR.BAG1.PT.11.EA1	2	4737.17	1610.67	3126.50	2561.33	958.67	70.47	NA	NA
BGM-0080	2011	BR.BAG1.PT.11.EA1	1	4672.78	1846.89	2825.89	3015.89	1217.44	70.62	NA	NA
BGM-0080	2011	BR.BAG1.PT.11.EA1	2	4676.10	1900.10	2776.00	3060.60	1213.10	70.59	NA	NA
BGM-0081	2011	BR.BAG1.PT.11.EA1	1	4034.00	1495.00	2539.00	2380.00	890.00	71.80	NA	NA
BGM-0081	2011	BR.BAG1.PT.11.EA1	2	3997.00	1497.00	2500.00	2391.00	897.00	71.80	NA	NA
BGM-0082	2011	BR.BAG1.PT.11.EA1	1	4488.00	1909.00	2579.00	2946.00	1037.00	73.35	NA	NA
BGM-0082	2011	BR.BAG1.PT.11.EA1	2	4407.00	1838.00	2569.00	2952.00	1128.00	71.75	NA	NA
BGM-0083	2011	BR.BAG1.PT.11.EA1	1	4254.50	1630.50	2624.00	2637.50	1026.00	71.38	NA	NA
BGM-0083	2011	BR.BAG1.PT.11.EA1	2	4232.50	1597.50	2635.00	2632.00	1069.50	71.38	NA	NA
BGM-0085	2011	BR.BAG1.PT.11.EA1	1	4565.00	1863.00	2702.00	2769.00	906.00	70.95	NA	NA
BGM-0085	2011	BR.BAG1.PT.11.EA1	2	4616.00	1831.00	2785.00	2832.00	1009.00	69.35	NA	NA
BGM-0087	2011	BR.BAG1.PT.11.EA1	1	4042.00	1491.50	2550.50	2428.50	941.50	68.53	NA	NA
BGM-0087	2011	BR.BAG1.PT.11.EA1	2	4151.00	1836.00	2315.00	2818.67	993.00	70.52	NA	NA
BGM-0088	2011	BR.BAG1.PT.11.EA1	1	4603.00	1602.00	3001.00	2865.00	1271.00	70.35	NA	NA
BGM-0088	2011	BR.BAG1.PT.11.EA1	2	4540.00	1595.00	2945.00	2878.00	1289.00	71.15	NA	NA
BGM-0089	2011	BR.BAG1.PT.11.EA1	1	5131.00	1765.00	3366.00	3112.00	1374.00	70.20	NA	NA
BGM-0089	2011	BR.BAG1.PT.11.EA1	2	4745.00	1649.00	3096.00	2969.00	1351.00	70.20	NA	NA
BGM-0090	2011	BR.BAG1.PT.11.EA1	1	5217.00	1889.00	3328.00	3085.00	1196.00	69.25	NA	NA
BGM-0090	2011	BR.BAG1.PT.11.EA1	2	5246.00	1916.00	3330.00	3044.00	1128.00	70.20	NA	NA
BGM-0091	2011	BR.BAG1.PT.11.EA1	1	4848.00	1861.00	2987.00	2945.00	1087.00	69.30	NA	NA
BGM-0091	2011	BR.BAG1.PT.11.EA1	2	4819.00	1896.00	2923.00	2983.00	1093.00	70.95	NA	NA
BGM-0092	2011	BR.BAG1.PT.11.EA1	1	5128.00	1957.00	3171.00	3185.00	1279.00	69.30	NA	NA
BGM-0092	2011	BR.BAG1.PT.11.EA1	2	5062.00	2031.00	3031.00	3190.00	1175.00	70.20	NA	NA
BGM-0093	2011	BR.BAG1.PT.11.EA1	1	6003.50	2171.00	3832.50	3710.50	1583.50	65.80	NA	NA
BGM-0093	2011	BR.BAG1.PT.11.EA1	2	6038.00	2123.50	3914.50	3633.50	1597.50	66.15	NA	NA
BGM-0094	2011	BR.BAG1.PT.11.EA1	1	4562.00	1699.00	2863.00	2701.00	1015.00	71.88	NA	NA
BGM-0094	2011	BR.BAG1.PT.11.EA1	2	5947.50	1943.00	4004.50	3524.50	1609.50	70.75	NA	NA
BGM-0095	2011	BR.BAG1.PT.11.EA1	1	4331.00	1884.00	2447.00	3001.00	1117.00	69.25	NA	NA
BGM-0095	2011	BR.BAG1.PT.11.EA1	2	4401.00	1893.00	2508.00	2994.00	1119.00	70.15	NA	NA
BGM-0096	2011	BR.BAG1.PT.11.EA1	1	4920.00	1713.00	3207.00	2891.00	1180.00	70.25	NA	NA
BGM-0096	2011	BR.BAG1.PT.11.EA1	2	4913.00	1689.00	3224.00	2875.00	1232.00	70.20	NA	NA
BGM-0097	2011	BR.BAG1.PT.11.EA1	1	4426.00	1577.00	2849.00	2720.00	1143.00	69.45	NA	NA
BGM-0097	2011	BR.BAG1.PT.11.EA1	2	4206.00	1522.00	2684.00	2743.00	1221.00	70.15	NA	NA
BGM-0098	2011	BR.BAG1.PT.11.EA1	1	5094.50	1741.50	3353.00	2658.50	933.50	68.68	NA	NA
BGM-0098	2011	BR.BAG1.PT.11.EA1	2	5047.00	1698.50	3348.50	2617.50	932.50	68.93	NA	NA
BGM-0099	2011	BR.BAG1.PT.11.EA1	1	4788.00	1885.00	2903.00	3110.00	1250.00	68.60	NA	NA
BGM-0099	2011	BR.BAG1.PT.11.EA1	2	4975.00	1959.00	3016.00	3132.00	1229.00	68.60	NA	NA
BGM-0100	2011	BR.BAG1.PT.11.EA1	1	4730.00	1839.00	2891.00	3103.00	1353.00	70.25	NA	NA
BGM-0100	2011	BR.BAG1.PT.11.EA1	2	4710.00	1846.00	2864.00	3061.00	1284.00	70.05	NA	NA
BGM-0101	2011	BR.BAG1.PT.11.EA1	1	4840.00	1763.00	3077.00	2894.00	1161.00	71.95	NA	NA
BGM-0101	2011	BR.BAG1.PT.11.EA1	2	4823.00	1783.00	3040.00	2929.00	1148.00	71.85	NA	NA
BGM-0102	2011	BR.BAG1.PT.11.EA1	1	4192.00	1609.00	2583.00	2563.00	978.00	71.75	NA	NA
BGM-0102	2011	BR.BAG1.PT.11.EA1	2	4194.00	1635.00	2559.00	2566.00	957.00	72.60	NA	NA
BGM-0103	2011	BR.BAG1.PT.11.EA1	1	4618.00	1754.00	2864.00	2937.00	1186.00	70.20	NA	NA
BGM-0103	2011	BR.BAG1.PT.11.EA1	2	4629.00	1750.00	2879.00	2965.00	1229.00	70.20	NA	NA
BGM-0104	2011	BR.BAG1.PT.11.EA1	1	5162.00	2020.00	3142.00	3269.00	1290.00	70.85	NA	NA
BGM-0104	2011	BR.BAG1.PT.11.EA1	2	5213.00	1992.00	3221.00	3326.00	1348.00	71.00	NA	NA
BGM-0108	2011	BR.BAG1.PT.11.EA1	1	4695.00	1691.00	3004.00	2812.00	1131.00	70.20	NA	NA
BGM-0108	2011	BR.BAG1.PT.11.EA1	2	4714.00	1688.00	3026.00	2781.00	1096.00	70.20	NA	NA
BGM-0110	2011	BR.BAG1.PT.11.EA1	1	5130.00	1877.00	3253.00	3200.00	1509.00	70.20	NA	NA
BGM-0110	2011	BR.BAG1.PT.11.EA1	2	4744.00	1772.00	2972.00	3170.00	1521.00	70.20	NA	NA
BGM-0111	2011	BR.BAG1.PT.11.EA1	1	5101.00	1905.00	3196.00	2752.00	850.00	68.55	NA	NA
BGM-0111	2011	BR.BAG1.PT.11.EA1	2	4962.00	1800.00	3162.00	2717.00	925.00	67.85	NA	NA
BGM-0114	2011	BR.BAG1.PT.11.EA1	1	5628.00	2438.00	3190.00	3701.00	1416.00	68.50	NA	NA
BGM-0114	2011	BR.BAG1.PT.11.EA1	2	5556.00	2377.00	3179.00	3457.00	1420.00	67.70	NA	NA
BGM-0115	2011	BR.BAG1.PT.11.EA1	1	4566.00	1762.00	2804.00	2931.00	1196.00	68.40	NA	NA
BGM-0115	2011	BR.BAG1.PT.11.EA1	2	4513.00	1653.00	2860.00	2897.00	1282.00	68.40	NA	NA
BGM-0116	2011	BR.BAG1.PT.11.EA1	1	4772.08	1634.38	3137.69	2578.92	956.85	70.22	NA	NA
BGM-0116	2011	BR.BAG1.PT.11.EA1	2	4795.86	1642.64	3153.21	2582.86	951.57	69.99	NA	NA
BGM-0120	2011	BR.BAG1.PT.11.EA1	1	4697.50	1800.50	2897.00	2894.50	1136.50	69.40	NA	NA
BGM-0120	2011	BR.BAG1.PT.11.EA1	2	4746.00	1785.50	2960.50	2911.00	1154.50	70.20	NA	NA
BGM-0121	2011	BR.BAG1.PT.11.EA1	1	5431.00	1885.00	3546.00	3507.00	1688.00	68.40	NA	NA
BGM-0121	2011	BR.BAG1.PT.11.EA1	2	5405.00	1832.00	3573.00	3597.00	1833.00	68.40	NA	NA
BGM-0123	2011	BR.BAG1.PT.11.EA1	1	3801.00	1490.00	2311.00	2706.00	1216.00	71.95	NA	NA
BGM-0123	2011	BR.BAG1.PT.11.EA1	2	3793.00	1517.00	2276.00	2655.00	1138.00	72.70	NA	NA
BGM-0124	2011	BR.BAG1.PT.11.EA1	1	4912.00	1813.00	3099.00	2992.00	1200.00	69.30	NA	NA
BGM-0124	2011	BR.BAG1.PT.11.EA1	2	4971.00	1768.00	3203.00	2959.00	1211.00	68.40	NA	NA
BGM-0125	2011	BR.BAG1.PT.11.EA1	1	4699.00	1809.00	2890.00	3018.00	1276.00	70.95	NA	NA
BGM-0125	2011	BR.BAG1.PT.11.EA1	2	4875.00	1883.00	2992.00	3065.00	1331.00	70.95	NA	NA
BGM-0126	2011	BR.BAG1.PT.11.EA1	1	5046.00	1909.00	3137.00	3184.00	1298.00	70.20	NA	NA
BGM-0126	2011	BR.BAG1.PT.11.EA1	2	5065.00	1934.00	3131.00	3170.00	1242.00	70.90	NA	NA
BGM-0127	2011	BR.BAG1.PT.11.EA1	1	4917.00	1832.00	3085.00	2804.00	1042.00	68.60	NA	NA
BGM-0127	2011	BR.BAG1.PT.11.EA1	2	4867.00	1812.00	3055.00	2848.00	1069.00	67.85	NA	NA
BGM-0128	2011	BR.BAG1.PT.11.EA1	1	4946.50	1952.00	2994.50	3074.00	1151.00	69.38	NA	NA
BGM-0128	2011	BR.BAG1.PT.11.EA1	2	4990.00	1955.50	3034.50	3119.50	1175.00	69.08	NA	NA
BGM-0129	2011	BR.BAG1.PT.11.EA1	1	4934.00	1659.00	3275.00	3166.00	1559.00	68.65	NA	NA
BGM-0129	2011	BR.BAG1.PT.11.EA1	2	4778.00	1697.00	3081.00	3092.00	1431.00	68.55	NA	NA
BGM-0130	2011	BR.BAG1.PT.11.EA1	1	4801.00	1846.00	2955.00	3083.00	1294.00	71.05	NA	NA
BGM-0130	2011	BR.BAG1.PT.11.EA1	2	4849.00	1891.00	2958.00	3074.00	1248.00	71.75	NA	NA
BGM-0132	2011	BR.BAG1.PT.11.EA1	1	4944.00	2064.00	2880.00	2934.00	887.00	69.35	NA	NA
BGM-0132	2011	BR.BAG1.PT.11.EA1	2	4916.00	2061.00	2855.00	2920.00	876.00	68.40	NA	NA
BGM-0134	2011	BR.BAG1.PT.11.EA1	1	4708.00	1649.00	3059.00	2766.00	1131.00	73.50	NA	NA
BGM-0134	2011	BR.BAG1.PT.11.EA1	2	4744.00	1619.00	3125.00	2776.00	1198.00	71.80	NA	NA
BGM-0135	2011	BR.BAG1.PT.11.EA1	1	5190.00	1880.00	3310.00	3179.50	1373.00	68.63	NA	NA
BGM-0135	2011	BR.BAG1.PT.11.EA1	2	5497.50	1994.00	3503.50	3319.00	1358.50	67.80	NA	NA
BGM-0136	2011	BR.BAG1.PT.11.EA1	1	5158.00	1709.00	3449.00	3263.00	1615.00	67.80	NA	NA
BGM-0136	2011	BR.BAG1.PT.11.EA1	2	5290.00	1031.00	4259.00	3292.00	2342.00	67.80	NA	NA
BGM-0137	2011	BR.BAG1.PT.11.EA1	1	4727.00	1740.67	2986.33	2814.00	1094.33	70.15	NA	NA
BGM-0137	2011	BR.BAG1.PT.11.EA1	2	4702.67	1738.00	2964.67	2806.33	1079.00	70.42	NA	NA
BGM-0138	2011	BR.BAG1.PT.11.EA1	1	4622.00	1688.00	2934.00	2717.00	1056.00	70.15	NA	NA
BGM-0138	2011	BR.BAG1.PT.11.EA1	2	4560.00	1682.00	2878.00	2709.00	1036.00	70.25	NA	NA
BGM-0139	2011	BR.BAG1.PT.11.EA1	1	5183.00	1858.00	3325.00	2787.00	940.00	70.15	NA	NA
BGM-0139	2011	BR.BAG1.PT.11.EA1	2	5188.00	2017.00	3171.00	2761.00	788.00	71.15	NA	NA
BGM-0140	2011	BR.BAG1.PT.11.EA1	1	4471.00	1692.00	2779.00	2756.00	1089.00	71.05	NA	NA
BGM-0140	2011	BR.BAG1.PT.11.EA1	2	4647.00	1745.00	2902.00	2749.00	1090.00	70.15	NA	NA
BGM-0141	2011	BR.BAG1.PT.11.EA1	1	4408.00	1707.00	2701.00	2519.00	829.00	70.20	NA	NA
BGM-0141	2011	BR.BAG1.PT.11.EA1	2	4403.00	1635.00	2768.00	2568.00	943.00	68.60	NA	NA
BGM-0143	2011	BR.BAG1.PT.11.EA1	1	5269.00	1859.00	3410.00	2971.00	1112.00	69.03	NA	NA
BGM-0143	2011	BR.BAG1.PT.11.EA1	2	5294.50	1883.00	3411.50	3003.00	1134.50	69.05	NA	NA
BGM-0144	2011	BR.BAG1.PT.11.EA1	1	4914.00	1543.00	3371.00	2310.00	778.00	68.40	NA	NA
BGM-0144	2011	BR.BAG1.PT.11.EA1	2	4797.00	1511.00	3286.00	2337.00	834.00	67.80	NA	NA
BGM-0145	2011	BR.BAG1.PT.11.EA1	1	4895.00	1693.00	3202.00	2826.00	1133.00	70.95	NA	NA
BGM-0145	2011	BR.BAG1.PT.11.EA1	2	4869.00	1641.00	3228.00	2846.00	1213.00	69.30	NA	NA
BGM-0146	2011	BR.BAG1.PT.11.EA1	1	4494.00	1705.00	2789.00	2791.00	1097.00	71.00	NA	NA
BGM-0146	2011	BR.BAG1.PT.11.EA1	2	4551.00	1733.00	2818.00	2822.00	1124.00	71.80	NA	NA
BGM-0147	2011	BR.BAG1.PT.11.EA1	1	5064.00	2072.00	2992.00	3248.00	1306.00	71.70	NA	NA
BGM-0147	2011	BR.BAG1.PT.11.EA1	2	4953.00	2017.00	2936.00	3257.00	1429.00	71.75	NA	NA
BGM-0148	2011	BR.BAG1.PT.11.EA1	1	4689.00	1899.00	2790.00	2960.00	1264.00	71.00	NA	NA
BGM-0148	2011	BR.BAG1.PT.11.EA1	2	4815.00	1965.00	2850.00	2880.00	1091.00	70.90	NA	NA
BGM-0149	2011	BR.BAG1.PT.11.EA1	1	5015.00	1943.00	3072.00	3084.00	1146.00	69.30	NA	NA
BGM-0149	2011	BR.BAG1.PT.11.EA1	2	4917.00	1916.00	3001.00	3006.00	1094.00	69.40	NA	NA
BGM-0150	2011	BR.BAG1.PT.11.EA1	1	4809.00	1695.00	3114.00	2458.00	782.00	70.25	NA	NA
BGM-0150	2011	BR.BAG1.PT.11.EA1	2	4783.00	1675.00	3108.00	2393.00	743.00	71.00	NA	NA
BGM-0151	2011	BR.BAG1.PT.11.EA1	1	4923.00	1933.00	2990.00	2825.00	910.00	70.20	NA	NA
BGM-0151	2011	BR.BAG1.PT.11.EA1	2	4779.00	1914.00	2865.00	2785.00	876.00	70.10	NA	NA
BGM-0152	2011	BR.BAG1.PT.11.EA1	1	5084.00	1894.00	3190.00	3113.00	1346.00	70.20	NA	NA
BGM-0152	2011	BR.BAG1.PT.11.EA1	2	5138.00	1903.00	3235.00	3121.00	1330.00	69.30	NA	NA
BGM-0153	2011	BR.BAG1.PT.11.EA1	1	4958.00	1600.00	3358.00	2657.00	1057.00	68.40	NA	NA
BGM-0153	2011	BR.BAG1.PT.11.EA1	2	4954.00	1616.00	3338.00	2660.00	1044.00	68.40	NA	NA
BGM-0155	2011	BR.BAG1.PT.11.EA1	1	4962.50	2181.50	2781.00	2956.50	867.50	68.18	NA	NA
BGM-0155	2011	BR.BAG1.PT.11.EA1	2	4781.50	1845.00	2936.50	3007.50	1240.00	70.15	NA	NA
BGM-0156	2011	BR.BAG1.PT.11.EA1	1	4818.00	1567.00	3251.00	2698.00	1150.00	70.95	NA	NA
BGM-0156	2011	BR.BAG1.PT.11.EA1	2	4795.00	1573.00	3222.00	2711.00	1153.00	70.95	NA	NA
BGM-0157	2011	BR.BAG1.PT.11.EA1	1	4543.00	1577.00	2966.00	2686.00	1125.00	68.40	NA	NA
BGM-0157	2011	BR.BAG1.PT.11.EA1	2	4468.00	1594.00	2874.00	2728.00	1156.00	68.40	NA	NA
BGM-0159	2011	BR.BAG1.PT.11.EA1	1	4897.00	1952.00	2945.00	3163.00	1308.00	70.20	NA	NA
BGM-0159	2011	BR.BAG1.PT.11.EA1	2	4892.00	1961.00	2931.00	3158.00	1249.00	69.30	NA	NA
BGM-0160	2011	BR.BAG1.PT.11.EA1	1	5021.00	1935.00	3086.00	3160.00	1305.00	68.40	NA	NA
BGM-0160	2011	BR.BAG1.PT.11.EA1	2	4909.00	1908.00	3001.00	3122.00	1343.00	69.30	NA	NA
BGM-0161	2011	BR.BAG1.PT.11.EA1	1	3951.00	1562.00	2389.00	2448.00	968.00	68.40	NA	NA
BGM-0161	2011	BR.BAG1.PT.11.EA1	2	4291.00	1718.00	2573.00	2609.00	951.00	68.40	NA	NA
BGM-0162	2011	BR.BAG1.PT.11.EA1	1	5007.00	1777.00	3230.00	2694.00	917.00	67.75	NA	NA
BGM-0162	2011	BR.BAG1.PT.11.EA1	2	5036.00	1807.00	3229.00	2741.00	934.00	68.55	NA	NA
BGM-0163	2011	BR.BAG1.PT.11.EA1	1	4510.00	1827.00	2683.00	2924.00	1150.00	70.95	NA	NA
BGM-0163	2011	BR.BAG1.PT.11.EA1	2	4470.00	1703.00	2767.00	2835.00	1201.00	69.30	NA	NA
BGM-0164	2011	BR.BAG1.PT.11.EA1	1	4865.00	1827.00	3038.00	3289.00	1519.00	67.70	NA	NA
BGM-0164	2011	BR.BAG1.PT.11.EA1	2	4890.00	1619.00	3271.00	3241.00	1698.00	67.85	NA	NA
BGM-0165	2011	BR.BAG1.PT.11.EA1	2	4668.00	1655.00	3013.00	2658.00	1024.00	67.80	NA	NA
BGM-0166	2011	BR.BAG1.PT.11.EA1	1	4969.00	1999.00	2970.00	3243.00	1295.00	69.35	NA	NA
BGM-0166	2011	BR.BAG1.PT.11.EA1	2	4792.00	1993.00	2799.00	3209.00	1286.00	69.30	NA	NA
BGM-0167	2011	BR.BAG1.PT.11.EA1	1	5227.00	1852.00	3375.00	3121.00	1301.00	70.20	NA	NA
BGM-0167	2011	BR.BAG1.PT.11.EA1	2	5286.00	1833.00	3453.00	3211.00	1405.00	70.20	NA	NA
BGM-0169	2011	BR.BAG1.PT.11.EA1	1	5035.00	1986.00	3049.00	3098.00	1117.00	70.25	NA	NA
BGM-0169	2011	BR.BAG1.PT.11.EA1	2	5044.00	1997.00	3047.00	3026.00	1072.00	70.25	NA	NA
BGM-0171	2011	BR.BAG1.PT.11.EA1	1	5403.00	1827.00	3576.00	3315.00	1555.00	69.30	NA	NA
BGM-0171	2011	BR.BAG1.PT.11.EA1	2	5737.00	1885.00	3852.00	3558.00	1733.00	69.30	NA	NA
BGM-0172	2011	BR.BAG1.PT.11.EA1	1	4847.00	1745.00	3102.00	3019.00	1312.00	70.20	NA	NA
BGM-0172	2011	BR.BAG1.PT.11.EA1	2	4907.00	1763.00	3144.00	3177.00	1445.00	70.20	NA	NA
BGM-0173	2011	BR.BAG1.PT.11.EA1	1	5670.00	2089.00	3581.00	3513.00	1470.00	68.40	NA	NA
BGM-0173	2011	BR.BAG1.PT.11.EA1	2	5521.00	1989.00	3532.00	3527.00	1673.00	67.80	NA	NA
BGM-0174	2011	BR.BAG1.PT.11.EA1	1	4725.00	1684.00	3041.00	2917.00	1233.00	69.30	NA	NA
BGM-0174	2011	BR.BAG1.PT.11.EA1	2	4750.00	1653.00	3097.00	2854.00	1212.00	69.30	NA	NA
BGM-0176	2011	BR.BAG1.PT.11.EA1	1	4858.00	1547.00	3311.00	2969.00	1466.00	71.90	NA	NA
BGM-0176	2011	BR.BAG1.PT.11.EA1	2	5004.00	1553.00	3451.00	3090.00	1565.00	71.85	NA	NA
BGM-0177	2011	BR.BAG1.PT.11.EA1	1	4149.00	1581.00	2568.00	2720.00	1162.00	72.65	NA	NA
BGM-0177	2011	BR.BAG1.PT.11.EA1	2	4166.00	1547.00	2619.00	2732.00	1248.00	71.05	NA	NA
BGM-0178	2011	BR.BAG1.PT.11.EA1	1	5028.00	1683.00	3345.00	2986.00	1327.00	69.30	NA	NA
BGM-0178	2011	BR.BAG1.PT.11.EA1	2	5051.00	1704.00	3347.00	2959.00	1279.00	69.30	NA	NA
BGM-0179	2011	BR.BAG1.PT.11.EA1	1	3942.00	1638.00	2304.00	2611.00	973.00	71.00	NA	NA
BGM-0179	2011	BR.BAG1.PT.11.EA1	2	3959.00	1656.00	2303.00	2611.00	966.00	71.05	NA	NA
BGM-0181	2011	BR.BAG1.PT.11.EA1	1	4688.00	1274.00	3414.00	3107.00	1953.00	68.40	NA	NA
BGM-0181	2011	BR.BAG1.PT.11.EA1	2	4796.00	978.00	3818.00	3193.00	2303.00	68.40	NA	NA
BGM-0182	2011	BR.BAG1.PT.11.EA1	1	4798.00	1643.00	3155.00	2967.00	1369.00	70.20	NA	NA
BGM-0182	2011	BR.BAG1.PT.11.EA1	2	4765.00	1621.00	3144.00	3008.00	1439.00	70.20	NA	NA
BGM-0183	2011	BR.BAG1.PT.11.EA1	1	5098.00	1889.00	3209.00	3303.00	1440.00	68.40	NA	NA
BGM-0183	2011	BR.BAG1.PT.11.EA1	2	5246.00	1977.00	3269.00	3392.00	1479.00	69.30	NA	NA
BGM-0184	2011	BR.BAG1.PT.11.EA1	1	4884.00	1646.00	3238.00	2908.00	1313.00	69.30	NA	NA
BGM-0184	2011	BR.BAG1.PT.11.EA1	2	4888.00	1640.00	3248.00	2894.00	1314.00	69.30	NA	NA
BGM-0185	2011	BR.BAG1.PT.11.EA1	1	4934.00	1831.00	3103.00	3051.00	1242.00	69.30	NA	NA
BGM-0185	2011	BR.BAG1.PT.11.EA1	2	4861.00	1831.00	3030.00	3010.00	1201.00	69.30	NA	NA
BGM-0186	2011	BR.BAG1.PT.11.EA1	1	4780.00	1767.00	3013.00	2720.00	953.00	71.80	NA	NA
BGM-0186	2011	BR.BAG1.PT.11.EA1	2	4903.00	1776.00	3127.00	2593.00	819.00	72.80	NA	NA
BGM-0187	2011	BR.BAG1.PT.11.EA1	2	4568.00	1668.00	2900.00	2801.00	1157.00	70.20	NA	NA
BGM-0188	2011	BR.BAG1.PT.11.EA1	1	4809.00	1602.00	3207.00	2934.00	1358.00	70.20	NA	NA
BGM-0188	2011	BR.BAG1.PT.11.EA1	2	4781.00	1633.00	3148.00	3000.00	1391.00	70.20	NA	NA
BGM-0189	2011	BR.BAG1.PT.11.EA1	1	5019.00	1676.00	3343.00	2813.00	1137.00	69.65	NA	NA
BGM-0189	2011	BR.BAG1.PT.11.EA1	2	5068.00	1661.00	3407.00	2743.00	1082.00	69.40	NA	NA
BGM-0192	2011	BR.BAG1.PT.11.EA1	1	4918.00	1729.00	3189.00	2908.00	1206.00	69.30	NA	NA
BGM-0192	2011	BR.BAG1.PT.11.EA1	2	4907.00	1744.00	3163.00	2877.00	1172.00	69.30	NA	NA
BGM-0193	2011	BR.BAG1.PT.11.EA1	1	4617.00	1534.00	3083.00	2462.00	935.00	69.30	NA	NA
BGM-0193	2011	BR.BAG1.PT.11.EA1	2	4629.00	1555.00	3074.00	2486.00	931.00	69.30	NA	NA
BGM-0194	2011	BR.BAG1.PT.11.EA1	1	4744.00	1658.00	3086.00	2866.00	1233.00	70.95	NA	NA
BGM-0194	2011	BR.BAG1.PT.11.EA1	2	4724.00	1662.00	3062.00	2827.00	1185.00	70.20	NA	NA
BGM-0195	2011	BR.BAG1.PT.11.EA1	1	5089.00	1800.00	3289.00	3159.00	1460.00	69.30	NA	NA
BGM-0195	2011	BR.BAG1.PT.11.EA1	2	5075.00	1836.00	3239.00	3025.00	1390.00	69.30	NA	NA
BGM-0196	2011	BR.BAG1.PT.11.EA1	1	4904.00	1943.00	2961.00	3240.00	1425.00	70.20	NA	NA
BGM-0196	2011	BR.BAG1.PT.11.EA1	2	4879.00	1939.00	2940.00	3192.00	1366.00	70.20	NA	NA
BGM-0198	2011	BR.BAG1.PT.11.EA1	1	5355.00	1898.00	3457.00	3430.00	1637.00	69.30	NA	NA
BGM-0198	2011	BR.BAG1.PT.11.EA1	2	5252.00	1928.00	3324.00	3344.00	1588.00	69.30	NA	NA
BGM-0200	2011	BR.BAG1.PT.11.EA1	1	4809.00	1685.00	3124.00	2882.00	1296.00	68.40	NA	NA
BGM-0200	2011	BR.BAG1.PT.11.EA1	2	4765.00	1735.00	3030.00	2861.00	1259.00	68.40	NA	NA
BGM-0201	2011	BR.BAG1.PT.11.EA1	1	4875.00	1863.00	3012.00	2994.00	1148.00	68.40	NA	NA
BGM-0201	2011	BR.BAG1.PT.11.EA1	2	4845.00	1934.00	2911.00	2933.00	1001.00	69.30	NA	NA
BGM-0202	2011	BR.BAG1.PT.11.EA1	1	5009.00	1798.00	3211.00	3172.00	1412.00	70.20	NA	NA
BGM-0202	2011	BR.BAG1.PT.11.EA1	2	4975.00	1786.00	3189.00	3206.00	1498.00	70.95	NA	NA
BGM-0203	2011	BR.BAG1.PT.11.EA1	1	4800.00	1610.00	3190.00	2871.00	1269.00	70.85	NA	NA
BGM-0203	2011	BR.BAG1.PT.11.EA1	2	5094.00	1554.00	3540.00	2935.00	1399.00	71.20	NA	NA
