amostras	ano	ensaio	repeticao	peak_1	trough_1	breakdown	final_visc	setback	peak_time	pasting_temp	umidade_percent
Aipim Brasilia	2021	BR.BAG.19.UFRB	1	5002.00	1774.00	3228.00	2648.00	874.00	3.80	71.05	14.69
Aipim Brasilia	2021	BR.BAG.19.UFRB	2	5089.00	1781.00	3308.00	2622.00	841.00	3.87	71.05	14.62
Aipim Guanambi	2020	BR.BAG.19.UFRB	1	4086.00	1731.00	2355.00	2793.00	1062.00	4.13	71.05	15.19
Aipim Guanambi	2020	BR.BAG.19.UFRB	2	4254.00	1801.00	2453.00	2876.00	1075.00	4.20	71.15	15.48
Aipim Manteiga	2020	BR.BAG.19.UFRB	1	4152.00	1747.00	2405.00	2942.00	1195.00	4.20	71.85	NA
Aipim Manteiga	2020	BR.BAG.19.UFRB	2	4154.00	1737.00	2417.00	2863.00	1126.00	4.27	71.80	NA
Amarelo-SC	2011	BR.BAG1.PT.11.EA1	1	4165.00	1468.00	2697.00	2622.00	1154.00	71.10	NA	NA
Amarelo-SC	2011	BR.BAG1.PT.11.EA1	2	4143.00	1409.00	2734.00	2531.00	1122.00	71.95	NA	NA
Baianinha	2017	BR.PYT.17.CNPMF	1	6647.00	2126.00	4521.00	3197.00	1071.00	3.27	68.75	14.43
Baianinha	2017	BR.PYT.17.CNPMF	2	6706.00	2123.00	4583.00	3087.00	964.00	3.33	68.65	14.19
BGM-0018	2020	BR.BAG.19.UFRB	1	4336.00	1662.00	2674.00	2594.00	932.00	4.07	70.20	14.58
BGM-0018	2020	BR.BAG.19.UFRB	2	4324.00	1682.00	2642.00	2609.00	927.00	4.00	69.50	14.56
BGM-0032	2020	BR.BAG.20	1	4897.00	1827.00	3070.00	2572.00	745.00	3.73	71.85	15.16
BGM-0032	2020	BR.BAG.20	2	4899.00	1826.00	3073.00	2596.00	770.00	3.73	70.95	15.11
BGM-0035	2020	BR.BAG.20	1	4934.00	1721.00	3213.00	2317.00	596.00	3.87	72.55	14.54
BGM-0035	2020	BR.BAG.20	2	4874.00	1693.00	3181.00	2298.00	605.00	3.87	72.70	14.31
BGM-0036	2019	BR.BAG.19	1	4354.00	1431.00	2923.00	2208.00	777.00	4.00	71.05	16.00
BGM-0036	2019	BR.BAG.19	2	4245.00	1443.00	2802.00	2197.00	754.00	4.07	71.90	16.08
BGM-0048	2018	BR.CB.17.UFRB	1	5183.00	2012.00	3171.00	2981.00	969.00	3.93	70.10	13.82
BGM-0048	2018	BR.CB.17.UFRB	2	5144.00	1980.00	3164.00	2960.00	980.00	3.93	70.15	13.65
BGM-0061	2019	BR.BAG.19	1	3543.00	1533.00	2010.00	2696.00	1163.00	4.40	72.55	12.62
BGM-0061	2019	BR.BAG.19	2	3574.00	1593.00	1981.00	2704.00	1111.00	4.47	72.60	13.21
BGM-0062	2020	BR.BAG.19.UFRB	1	4396.00	1717.00	2679.00	2817.00	1100.00	4.20	69.35	15.15
BGM-0062	2020	BR.BAG.19.UFRB	2	4157.00	1625.00	2532.00	2687.00	1062.00	4.27	69.40	15.02
BGM-0069	2019	BR.BAG.19	1	4047.00	1789.00	2258.00	3044.00	1255.00	3.80	71.10	14.81
BGM-0069	2019	BR.BAG.19	2	3981.00	1754.00	2227.00	3045.00	1291.00	3.73	70.95	15.07
BGM-0070	2020	BR.BAG.19.UFRB	1	4692.00	1882.00	2810.00	2748.00	866.00	4.07	71.10	15.06
BGM-0070	2020	BR.BAG.19.UFRB	2	4639.00	1883.00	2756.00	2789.00	906.00	4.13	71.95	15.13
BGM-0083	2020	BR.BAG.19.UFRB	1	5588.00	1941.00	3647.00	2617.00	676.00	3.93	71.10	16.05
BGM-0083	2020	BR.BAG.19.UFRB	2	5505.00	2073.00	3432.00	2698.00	625.00	3.87	71.10	16.10
BGM-0085	2019	BR.BAG.19	1	4639.00	1613.00	3026.00	2347.00	734.00	3.87	69.25	13.00
BGM-0085	2019	BR.BAG.19	2	4790.00	1590.00	3200.00	2369.00	779.00	3.80	69.35	13.33
BGM-0093	2021	BR.FTBAG.20.Candeal	1	4190.00	1694.00	2496.00	2326.00	632.00	3.80	70.95	11.25
BGM-0093	2021	BR.FTBAG.20.Candeal	2	4249.00	1692.00	2557.00	2370.00	678.00	3.80	71.80	11.12
BGM-0120	2021	BR.FTBAG.20.Candeal	1	3627.00	1548.00	2079.00	2588.00	1040.00	4.13	71.05	12.32
BGM-0120	2021	BR.FTBAG.20.Candeal	2	3670.00	1564.00	2106.00	2547.00	983.00	4.27	71.80	12.28
BGM-0122	2021	BR.FTBAG.20.Candeal	1	3082.00	1400.00	1682.00	1883.00	483.00	4.53	72.55	14.06
BGM-0122	2021	BR.FTBAG.20.Candeal	2	3068.00	1386.00	1682.00	1919.00	533.00	4.53	71.90	13.93
BGM-0123	2020	BR.BAG.19.UFRB	1	4118.00	1623.00	2495.00	2692.00	1069.00	4.00	73.50	14.79
BGM-0123	2020	BR.BAG.19.UFRB	2	4092.00	1620.00	2472.00	2724.00	1104.00	4.13	72.65	14.78
BGM-0133	2021	BR.FTBAG.20.Candeal	1	3885.00	1353.00	2532.00	2130.00	777.00	4.13	73.45	13.59
BGM-0133	2021	BR.FTBAG.20.Candeal	2	3869.00	1362.00	2507.00	2136.00	774.00	4.13	73.40	13.23
BGM-0137	2021	BR.FTBAG.20.Candeal	1	3769.00	938.00	2831.00	1343.00	405.00	4.00	70.95	13.24
BGM-0137	2021	BR.FTBAG.20.Candeal	2	3865.00	978.00	2887.00	1416.00	438.00	4.00	70.95	13.08
BGM-0138	2021	BR.FTBAG.20.Candeal	1	3997.00	1156.00	2841.00	1628.00	472.00	4.00	67.85	15.91
BGM-0138	2021	BR.FTBAG.20.Candeal	2	4034.00	1166.00	2868.00	1658.00	492.00	4.00	66.90	15.95
BGM-0162	2021	BR.FTBAG.20.Candeal	1	4853.00	1766.00	3087.00	3067.00	1301.00	3.73	72.75	15.34
BGM-0162	2021	BR.FTBAG.20.Candeal	2	5046.00	1756.00	3290.00	3176.00	1420.00	3.73	72.60	15.82
BGM-0163	2019	BR.BAG.19	1	3293.00	1328.00	1965.00	2053.00	725.00	4.27	70.95	NA
BGM-0163	2019	BR.BAG.19	2	3426.00	1326.00	2100.00	2071.00	745.00	4.13	70.25	NA
BGM-0169	2021	BR.FTBAG.20.Candeal	1	4389.00	1628.00	2761.00	2436.00	808.00	4.20	72.60	13.43
BGM-0169	2021	BR.FTBAG.20.Candeal	2	4318.00	1599.00	2719.00	2345.00	746.00	4.20	72.55	13.33
BGM-0170	2019	BR.BAG.19	1	4851.00	1625.00	3226.00	2258.00	633.00	3.53	71.95	13.52
BGM-0170	2019	BR.BAG.19	2	4882.00	1645.00	3237.00	2260.00	615.00	3.47	70.95	12.97
BGM-0174	2019	BR.BAG.19	1	4103.00	1653.00	2450.00	2372.00	719.00	4.13	70.30	15.10
BGM-0174	2019	BR.BAG.19	2	4066.00	1689.00	2377.00	2435.00	746.00	4.13	70.20	14.98
BGM-0178	2019	BR.BAG.19	1	3756.00	1313.00	2443.00	1958.00	645.00	3.87	74.30	16.12
BGM-0178	2019	BR.BAG.19	2	3758.00	1305.00	2453.00	1917.00	612.00	3.93	75.10	15.87
BGM-0202	2019	BR.BAG.19	1	4557.00	1681.00	2876.00	2434.00	753.00	4.00	70.90	17.01
BGM-0202	2019	BR.BAG.19	2	4536.00	1633.00	2903.00	2397.00	764.00	3.93	71.15	17.06
BGM-0236	2019	BR.BAG.19	1	3784.00	1642.00	2142.00	2329.00	687.00	4.00	68.65	14.87
BGM-0236	2019	BR.BAG.19	2	3911.00	1644.00	2267.00	2361.00	717.00	4.07	69.35	15.23
BGM-0238	2019	BR.BAG.19	1	5585.00	1773.00	3812.00	2586.00	813.00	3.80	71.00	14.87
BGM-0238	2019	BR.BAG.19	2	5532.00	1762.00	3770.00	2583.00	821.00	3.73	71.00	15.23
BGM-0248	2020	BR.BAG.19.UFRB	1	4654.00	1716.00	2938.00	2504.00	788.00	3.93	71.80	15.36
BGM-0248	2020	BR.BAG.19.UFRB	2	4530.00	1715.00	2815.00	2505.00	790.00	3.93	72.65	15.88
BGM-0248	2019	BR.BAG.19	1	NA	NA	NA	NA	NA	NA	NA	14.31
BGM-0248	2019	BR.BAG.19	2	NA	NA	NA	NA	NA	NA	NA	14.01
BGM-0249	2019	BR.BAG.19	1	4495.00	1580.00	2915.00	2966.00	1386.00	3.67	72.65	15.68
BGM-0249	2019	BR.BAG.19	2	4494.00	1608.00	2886.00	2962.00	1354.00	3.67	72.60	15.71
BGM-0250	2019	BR.BAG.19	1	3651.00	1446.00	2205.00	2096.00	650.00	3.87	73.40	NA
BGM-0250	2019	BR.BAG.19	2	3619.00	1452.00	2167.00	2100.00	648.00	3.80	73.40	NA
BGM-0257	2019	BR.BAG.19	1	3413.00	690.00	2723.00	982.00	292.00	3.73	71.10	13.59
BGM-0257	2019	BR.BAG.19	2	3424.00	718.00	2706.00	1018.00	300.00	3.73	71.05	13.28
BGM-0264	2019	BR.BAG.19	1	5165.00	2006.00	3159.00	3236.00	1230.00	3.80	71.90	15.42
BGM-0264	2019	BR.BAG.19	2	5206.00	1917.00	3289.00	3135.00	1218.00	3.87	71.70	15.43
BGM-0268	2019	BR.BAG.19	1	3914.00	985.00	2929.00	1480.00	495.00	3.73	70.20	13.06
BGM-0268	2019	BR.BAG.19	2	3908.00	988.00	2920.00	1506.00	518.00	3.73	70.15	13.07
BGM-0277	2019	BR.BAG.19	1	5390.00	1869.00	3521.00	3179.00	1310.00	3.53	72.60	15.80
BGM-0277	2019	BR.BAG.19	2	5375.00	1925.00	3450.00	3123.00	1198.00	3.60	72.60	15.79
BGM-0284	2019	BR.BAG.19	1	5402.00	1485.00	3917.00	2165.00	680.00	3.73	70.15	14.05
BGM-0284	2019	BR.BAG.19	2	5279.00	1447.00	3832.00	2123.00	676.00	3.73	70.15	14.13
BGM-0285	2019	BR.BAG.19	1	3986.00	1756.00	2230.00	2567.00	811.00	4.13	73.40	14.00
BGM-0285	2019	BR.BAG.19	2	4020.00	1793.00	2227.00	2664.00	871.00	4.07	72.70	14.11
BGM-0286	2020	BR.BAGRec.19.Candeal	1	4713.00	1861.00	2852.00	2656.00	795.00	3.93	69.30	15.82
BGM-0286	2020	BR.BAGRec.19.Candeal	2	4444.00	1806.00	2638.00	2678.00	872.00	3.87	69.45	16.58
BGM-0288	2019	BR.BAG.19	1	4910.00	1352.00	3558.00	2101.00	749.00	3.67	70.30	15.21
BGM-0288	2019	BR.BAG.19	2	4957.00	1329.00	3628.00	2009.00	680.00	3.60	70.10	15.19
BGM-0297	2020	BR.BAG.19.UFRB	1	4758.00	1874.00	2884.00	2826.00	952.00	4.07	71.05	14.79
BGM-0297	2020	BR.BAG.19.UFRB	2	4786.00	1826.00	2960.00	2765.00	939.00	4.00	70.25	14.66
BGM-0306	2020	BR.BAG.19.UFRB	1	3696.00	1520.00	2176.00	2564.00	1044.00	4.20	74.35	14.41
BGM-0306	2020	BR.BAG.19.UFRB	2	3721.00	1504.00	2217.00	2551.00	1047.00	4.27	74.35	14.56
BGM-0314	2021	BR.FTBAG.20.Candeal	1	4885.00	1804.00	3081.00	2742.00	938.00	4.07	71.85	13.07
BGM-0314	2021	BR.FTBAG.20.Candeal	2	4797.00	1734.00	3063.00	2695.00	961.00	4.00	71.85	13.09
BGM-0316	2019	BR.BAG.19	1	4732.00	2031.00	2701.00	2993.00	962.00	4.20	70.20	12.12
BGM-0316	2019	BR.BAG.19	2	4706.00	2006.00	2700.00	2980.00	974.00	4.20	69.30	11.90
BGM-0338	2020	BR.BAG.19.UFRB	1	4358.00	1642.00	2716.00	2663.00	1021.00	3.93	74.30	14.06
BGM-0338	2020	BR.BAG.19.UFRB	2	4324.00	1655.00	2669.00	2685.00	1030.00	3.87	74.40	13.94
BGM-0349	2019	BR.BAG.19	1	3958.00	1144.00	2814.00	1739.00	595.00	3.93	72.60	11.07
BGM-0349	2019	BR.BAG.19	2	3840.00	1134.00	2706.00	1753.00	619.00	3.93	71.75	11.28
BGM-0356	2019	BR.BAG.19	1	4791.00	1796.00	2995.00	3008.00	1212.00	3.73	72.70	15.92
BGM-0356	2019	BR.BAG.19	2	4772.00	1668.00	3104.00	2968.00	1300.00	3.67	72.65	16.02
BGM-0365	2019	BR.BAG.19	1	4219.00	933.00	3286.00	1392.00	459.00	3.73	70.95	14.15
BGM-0365	2019	BR.BAG.19	2	4180.00	908.00	3272.00	1369.00	461.00	3.67	71.00	13.96
BGM-0368	2020	BR.BAG.19.UFRB	1	4671.00	1846.00	2825.00	2796.00	950.00	4.20	70.10	14.38
BGM-0368	2020	BR.BAG.19.UFRB	2	4549.00	1854.00	2695.00	2858.00	1004.00	4.27	71.05	14.77
BGM-0380	2019	BR.BAG.19	1	4574.00	1297.00	3277.00	1959.00	662.00	3.60	70.95	11.90
BGM-0380	2019	BR.BAG.19	2	4548.00	1292.00	3256.00	1947.00	655.00	3.67	71.90	11.66
BGM-0390	2020	BR.BAG.19.UFRB	1	4461.00	1746.00	2715.00	2903.00	1157.00	4.00	70.25	15.54
BGM-0390	2020	BR.BAG.19.UFRB	2	4535.00	1810.00	2725.00	2960.00	1150.00	4.07	70.10	16.38
BGM-0406	2021	BR.FTBAG.20.Candeal	1	3866.00	1120.00	2746.00	1684.00	564.00	4.00	71.80	13.64
BGM-0406	2021	BR.FTBAG.20.Candeal	2	3836.00	1107.00	2729.00	1649.00	542.00	4.07	71.80	13.92
BGM-0408	2021	BR.FTBAG.20.Candeal	1	3223.00	1363.00	1860.00	2036.00	673.00	3.93	73.45	12.86
BGM-0408	2021	BR.FTBAG.20.Candeal	2	3288.00	1396.00	1892.00	2074.00	678.00	3.93	73.40	13.13
BGM-0411	2021	BR.FTBAG.20.Candeal	1	4593.00	1714.00	2879.00	2607.00	893.00	4.07	70.95	13.72
BGM-0411	2021	BR.FTBAG.20.Candeal	2	4571.00	1705.00	2866.00	2597.00	892.00	4.07	71.80	13.45
BGM-0413	2021	BR.FTBAG.20.Candeal	1	4020.00	1534.00	2486.00	2438.00	904.00	3.93	70.20	14.31
BGM-0413	2021	BR.FTBAG.20.Candeal	2	4051.00	1512.00	2539.00	2434.00	922.00	3.93	70.15	14.37
BGM-0414	2021	BR.FTBAG.20.Candeal	1	3586.00	1263.00	2323.00	1828.00	565.00	4.27	71.05	14.65
BGM-0414	2021	BR.FTBAG.20.Candeal	2	3557.00	1259.00	2298.00	1827.00	568.00	4.27	71.10	14.45
BGM-0422	2019	BR.BAG.19	1	4516.00	1728.00	2788.00	2771.00	1043.00	4.07	69.45	14.01
BGM-0422	2019	BR.BAG.19	2	4642.00	1745.00	2897.00	2779.00	1034.00	4.20	70.30	13.72
BGM-0425	2021	BR.FTBAG.20.Candeal	1	4534.00	1548.00	2986.00	2537.00	989.00	3.87	71.10	14.94
BGM-0425	2021	BR.FTBAG.20.Candeal	2	4657.00	1583.00	3074.00	2555.00	972.00	4.07	72.60	15.24
BGM-0470	2019	BR.BAG.19	1	5018.00	1489.00	3529.00	2811.00	1322.00	3.80	71.00	12.67
BGM-0470	2019	BR.BAG.19	2	4836.00	1480.00	3356.00	2790.00	1310.00	3.87	71.85	12.71
BGM-0472	2019	BR.BAG.19	1	3822.00	1173.00	2649.00	1756.00	583.00	4.00	70.30	12.35
BGM-0472	2019	BR.BAG.19	2	3783.00	1167.00	2616.00	1758.00	591.00	4.00	70.25	12.55
BGM-0480	2019	BR.BAG.19	1	4829.00	1613.00	3216.00	2423.00	810.00	3.87	69.35	12.38
BGM-0480	2019	BR.BAG.19	2	4862.00	1629.00	3233.00	2483.00	854.00	3.93	70.25	12.49
BGM-0496	2021	BR.FTBAG.20.Candeal	1	4665.00	1384.00	3281.00	2175.00	791.00	3.93	71.90	15.37
BGM-0496	2021	BR.FTBAG.20.Candeal	2	4743.00	1421.00	3322.00	2186.00	765.00	3.93	71.80	15.73
BGM-0545	2019	BR.BAG.19	1	4090.00	1379.00	2711.00	2209.00	830.00	3.87	71.15	13.46
BGM-0545	2019	BR.BAG.19	2	4084.00	1382.00	2702.00	2199.00	817.00	3.80	71.05	12.88
BGM-0555	2021	BR.FTBAG.20.Candeal	1	4620.00	1609.00	3011.00	2463.00	854.00	4.07	71.80	15.00
BGM-0555	2021	BR.FTBAG.20.Candeal	2	4814.00	1615.00	3199.00	2471.00	856.00	4.13	71.80	15.26
BGM-0562	2021	BR.FTBAG.20.Candeal	1	3902.00	1416.00	2486.00	2138.00	722.00	4.20	70.25	14.33
BGM-0562	2021	BR.FTBAG.20.Candeal	2	3913.00	1423.00	2490.00	2149.00	726.00	4.27	70.20	14.49
BGM-0583	2020	BR.BAG.19.UFRB	1	4314.00	1632.00	2682.00	2752.00	1120.00	4.07	72.60	14.26
BGM-0583	2020	BR.BAG.19.UFRB	2	4324.00	1653.00	2671.00	2772.00	1119.00	4.00	72.60	13.97
BGM-0606	2020	BR.BAG.19.UFRB	1	3724.00	1071.00	2653.00	1715.00	644.00	3.80	72.60	15.00
