"AMOSTRAS","Quadrante","Count","Area","Total_Area","%Area","Perimetro","Major_E","Minor_E","Angle","Circularidade","Solidity","Feret","FeretX","Feret y","FeretAngle","MinFeret"
"2019g-08-63","Q3","440","9.9435909090909096","43.751800000000003","46.35","30.661999999999999","11.228","8.7040000000000006","68.320999999999998","0.97099999999999997","0.90500000000000003","12.666","195.12700000000001","208.7","105.92","8.9979999999999993"
"2019g-08-63","Q4","526","1.0553612167300381","55.512","56.22","32.231999999999999","11.78","8.8249999999999993","67.733000000000004","0.95699999999999996","0.9","13.244","207.46799999999999","199.79499999999999","103.968","9.2490000000000006"
"2019g-08-67","Q1","753","72.851759999999999","96.75","72.400000000000006","33.979999999999997","11.47","9.2799999999999994","84.84","0.92","0.9","12.5","485.24","497.76","92.14","9.68"
"2019g-08-67","Q2","663","11.886515837104072","78.807600000000008","79.62","38.6","13.038999999999998","9.4909999999999997","85.519000000000005","0.88500000000000001","0.89100000000000001","14.062000000000001","474.12799999999999","488.92","94.444999999999993","1.0154000000000001"
"2019g-08-67","Q3","653","11.169326186830014","72.935699999999997","72.42","37.097999999999999","12.387","9.4989999999999988","86.406000000000006","0.88800000000000001","0.89100000000000001","13.418000000000001","470.01400000000001","487.39800000000002","94.653000000000006","1.0058"
"2019g-08-67","Q4","691","13.737033285094068","94.922900000000013","93.12","42.119","13.946000000000002","1.0341","85.438000000000002","0.86899999999999999","0.88400000000000001","15.090999999999999","497.28199999999998","503.58499999999998","92.454999999999998","1.1064000000000001"
"7027-1","Q1","448","10.774553571428571","48.27","52.75","72.650000000000006","26.42","1.9739999999999998","70.811000000000007","0.95299999999999996","0.89700000000000002","29.62","187.74100000000001","197.45500000000001","106.143","2.0670000000000002"
"7027-1","Q2","430","15.402325581395349","66.23","70.489999999999995","83.59","32.58","2.214","56.305","0.95","0.90500000000000003","36.99","96.177000000000007","98.363","115.086","2.3290000000000002"
"7027-1","Q3","300","14.746666666666666","44.24","34.85","64.819999999999993","26.37","1.782","44.615000000000002","0.76500000000000001","0.999","29.68","104.827","99.447000000000003","116.84399999999999","1.831"
"7027-1","Q4","266","14.3796992481203","38.25","27.01","61.06","25.18","1.7190000000000001","47.658000000000001","0.77300000000000002","0.999","28.42","93.367999999999995","100.72199999999999","120.414","1.7350000000000001"
