"","amostras","ano","ensaio","repeticao","peak_1","trough_1","breakdown","final_visc","setback","peak_time","pasting_temp","umidade_percent"
"560","BGM0023","2011","BR.BAG1.PT.11.EA1","2",4692,1742,2950,2853,1125.5,68.625,NA,NA
"561","BGM0024","2011","BR.BAG1.PT.11.EA1","1",4649,1827,2822,3033,1240,67.85,NA,NA
"562","BGM0024","2011","BR.BAG1.PT.11.EA1","2",4668,1810,2858,3082,1311,67.85,NA,NA
"563","BGM0025","2011","BR.BAG1.PT.11.EA1","1",4728.85714285714,1668.71428571429,3060.14285714286,2897.85714285714,1316.42857142857,70.8785714285714,NA,NA
"564","BGM0025","2011","BR.BAG1.PT.11.EA1","2",4722,1673.57142857143,3048.42857142857,2975.42857142857,1347.71428571429,71.1,NA,NA
"565","BGM0026","2011","BR.BAG1.PT.11.EA1","1",5113,1804,3309,2692,921,68.5,NA,NA
"566","BGM0026","2011","BR.BAG1.PT.11.EA1","2",5106,1765,3341,2690,929,68.5,NA,NA
"567","BGM0027","2011","BR.BAG1.PT.11.EA1","1",5198,1597.5,3600.5,3406.5,1885,68.175,NA,NA
"568","BGM0027","2011","BR.BAG1.PT.11.EA1","2",5283.66666666667,1755.66666666667,3528,3302,1588.66666666667,67.5,NA,NA
"569","BGM0028","2011","BR.BAG1.PT.11.EA1","1",5020,1937,3083,2952,1036,72.7,NA,NA
"570","BGM0028","2011","BR.BAG1.PT.11.EA1","2",4970,1952,3018,2950,1059,72.7,NA,NA
"571","BGM0029","2011","BR.BAG1.PT.11.EA1","1",5219,1891,3328,2761,914,71.05,NA,NA
"572","BGM0029","2011","BR.BAG1.PT.11.EA1","2",5260,1887,3373,2743,909,70.3,NA,NA
"573","BGM0030","2011","BR.BAG1.PT.11.EA1","1",4785.57142857143,1825.14285714286,2960.42857142857,2895.57142857143,1086.85714285714,70.5357142857143,NA,NA
"574","BGM0030","2011","BR.BAG1.PT.11.EA1","2",4787.71428571429,1791.42857142857,2996.28571428571,2862.28571428571,1083.28571428571,71.1714285714286,NA,NA
"575","BGM0031","2011","BR.BAG1.PT.11.EA1","1",5413,2192,3221,3122,1007,71.05,NA,NA
"576","BGM0031","2011","BR.BAG1.PT.11.EA1","2",5461,2197,3264,3173,995,71.05,NA,NA
"577","BGM0033","2011","BR.BAG1.PT.11.EA1","1",5083,1545,3538,2668,1123,68.65,NA,NA
"578","BGM0033","2011","BR.BAG1.PT.11.EA1","2",5089,1582,3507,2622,1040,68.55,NA,NA
"579","BGM0034","2011","BR.BAG1.PT.11.EA1","1",5255,1992,3263,3297,1305,71.05,NA,NA
"580","BGM0034","2011","BR.BAG1.PT.11.EA1","2",5133,2023,3110,3292,1291,71.05,NA,NA
"581","BGM0036","2011","BR.BAG1.PT.11.EA1","1",4078,1360,2718,2044.33333333333,693.333333333333,69.9833333333333,NA,NA
"582","BGM0036","2011","BR.BAG1.PT.11.EA1","2",4085.66666666667,1352.33333333333,2733.33333333333,2096.66666666667,744.333333333333,69.9166666666667,NA,NA
"583","BGM0037","2011","BR.BAG1.PT.11.EA1","1",4098.5,1580.5,2518,2753.5,1182.5,70.7,NA,NA
"584","BGM0037","2011","BR.BAG1.PT.11.EA1","2",4212.66666666667,1556,2656.66666666667,2551.66666666667,1001,70.75,NA,NA
"585","BGM0039","2011","BR.BAG1.PT.11.EA1","1",5249,1922.5,3326.5,3193,1315.5,68.275,NA,NA
"586","BGM0039","2011","BR.BAG1.PT.11.EA1","2",5242.5,1936.5,3306,3220.5,1332,68.275,NA,NA
"587","BGM0040","2011","BR.BAG1.PT.11.EA1","1",4665,1897,2768,3096,1199,70.3,NA,NA
"588","BGM0040","2011","BR.BAG1.PT.11.EA1","2",4666,1904,2762,3098,1194,71.05,NA,NA
"589","BGM0041","2011","BR.BAG1.PT.11.EA1","1",5183,2205,2978,3353,1302,69.4,NA,NA
"590","BGM0041","2011","BR.BAG1.PT.11.EA1","2",5227,2169,3058,3448,1506,69.4,NA,NA
"591","BGM0042","2011","BR.BAG1.PT.11.EA1","1",4961.66666666667,2074,2887.66666666667,3344.16666666667,1466.83333333333,70.4333333333333,NA,NA
"592","BGM0042","2011","BR.BAG1.PT.11.EA1","2",5000.71428571429,2111.28571428571,2889.42857142857,3259.42857142857,1357.85714285714,70.3785714285714,NA,NA
"593","BGM0043","2011","BR.BAG1.PT.11.EA1","1",4915,1759,3156,2735,977,71.85,NA,NA
"594","BGM0043","2011","BR.BAG1.PT.11.EA1","2",4847,1763,3084,2740,977,71.9,NA,NA
"595","BGM0044","2011","BR.BAG1.PT.11.EA1","1",5224,1846,3378,2842.5,1010.5,69.875,NA,NA
"596","BGM0044","2011","BR.BAG1.PT.11.EA1","2",5161.5,1830.5,3331,2860.5,1039,69.45,NA,NA
"597","BGM0045","2011","BR.BAG1.PT.11.EA1","1",5420,1996,3424,3236,1287,66.95,NA,NA
"598","BGM0045","2011","BR.BAG1.PT.11.EA1","2",5416,1964,3452,3299,1380,66.15,NA,NA
"599","BGM0047","2011","BR.BAG1.PT.11.EA1","1",4963,1793,3170,2907,1205,69.5,NA,NA
"600","BGM0047","2011","BR.BAG1.PT.11.EA1","2",4923,1795,3128,2913,1135,69.5,NA,NA
"601","BGM0048","2011","BR.BAG1.PT.11.EA1","1",4937,1688,3249,2476,808,68.5,NA,NA
"602","BGM0048","2011","BR.BAG1.PT.11.EA1","2",4874,1672,3202,2441,797,68.5,NA,NA
"603","BGM0049","2011","BR.BAG1.PT.11.EA1","1",5613,1816,3797,3378,1569,65.45,NA,NA
"604","BGM0049","2011","BR.BAG1.PT.11.EA1","2",5565,1823,3742,3337,1542,64.55,NA,NA
"605","BGM0050","2011","BR.BAG1.PT.11.EA1","1",4708,1842,2866,3101,1259,70.3,NA,NA
"606","BGM0050","2011","BR.BAG1.PT.11.EA1","2",4708,1855,2853,3063,1235,70.3,NA,NA
"607","BGM0051","2011","BR.BAG1.PT.11.EA1","1",5158,2083,3075,3214,1226,69.4,NA,NA
"608","BGM0051","2011","BR.BAG1.PT.11.EA1","2",5239,2064,3175,3430,1401,69.4,NA,NA
"609","BGM0052","2011","BR.BAG1.PT.11.EA1","1",4468,1848,2620,2906,1081,72,NA,NA
"610","BGM0052","2011","BR.BAG1.PT.11.EA1","2",4529,1864,2665,2941,1084,72,NA,NA
"611","BGM0053","2011","BR.BAG1.PT.11.EA1","1",5018,1934,3084,3222,1373,69.4,NA,NA
"612","BGM0053","2011","BR.BAG1.PT.11.EA1","2",4992,1963,3029,3180,1301,69.4,NA,NA
"613","BGM0054","2011","BR.BAG1.PT.11.EA1","1",5072.83333333333,2027.16666666667,3045.66666666667,3243.83333333333,1311.66666666667,69.475,NA,NA
"614","BGM0054","2011","BR.BAG1.PT.11.EA1","2",4955.57142857143,1956.57142857143,2999,3110.42857142857,1238.85714285714,70.0642857142857,NA,NA
"615","BGM0055","2011","BR.BAG1.PT.11.EA1","1",5397,2135,3262,3090,955,70.15,NA,NA
"616","BGM0055","2011","BR.BAG1.PT.11.EA1","2",5338,2150,3188,3098,948,70.15,NA,NA
"617","BGM0056","2011","BR.BAG1.PT.11.EA1","1",4656.55555555556,1914.55555555556,2742,3025,1188.22222222222,70.6833333333333,NA,NA
"618","BGM0056","2011","BR.BAG1.PT.11.EA1","2",4683.88888888889,1905.33333333333,2778.55555555556,3000.66666666667,1196.11111111111,70.6388888888889,NA,NA
"619","BGM0057","2011","BR.BAG1.PT.11.EA1","1",5146,1852,3294,3066,1233,69.35,NA,NA
"620","BGM0057","2011","BR.BAG1.PT.11.EA1","2",5132,1867,3265,3028,1215,69.4,NA,NA
"621","BGM0058","2011","BR.BAG1.PT.11.EA1","1",4563,1867,2696,2750,883,69.35,NA,NA
"622","BGM0058","2011","BR.BAG1.PT.11.EA1","2",4556,1862,2694,2745,902,69.25,NA,NA
"623","BGM0059","2011","BR.BAG1.PT.11.EA1","1",4710,1803,2907,2765,998,69.35,NA,NA
"624","BGM0059","2011","BR.BAG1.PT.11.EA1","2",4659,1761,2898,2827,1093,70.2,NA,NA
"625","BGM0060","2011","BR.BAG1.PT.11.EA1","1",4676,1844,2832,2713,899,69.3,NA,NA
"626","BGM0060","2011","BR.BAG1.PT.11.EA1","2",4680,1870,2810,2755,893,70.25,NA,NA
"627","BGM0061","2011","BR.BAG1.PT.11.EA1","1",5114,1945,3169,3117,1175,70.1,NA,NA
"628","BGM0061","2011","BR.BAG1.PT.11.EA1","2",5087,1987,3100,2986,1020,71,NA,NA
"629","BGM0062","2011","BR.BAG1.PT.11.EA1","1",4474,1896,2578,2624,755,68.55,NA,NA
"630","BGM0062","2011","BR.BAG1.PT.11.EA1","2",4490,1928,2562,2659,737,69.25,NA,NA
"631","BGM0063","2011","BR.BAG1.PT.11.EA1","1",4101,1946,2155,2722,827,69.35,NA,NA
"632","BGM0063","2011","BR.BAG1.PT.11.EA1","2",4097,1911,2186,2713,852,68.55,NA,NA
"633","BGM0064","2011","BR.BAG1.PT.11.EA1","1",4468,1796,2672,2720,943,69.3,NA,NA
"634","BGM0064","2011","BR.BAG1.PT.11.EA1","2",4374,1757,2617,2696,939,69.45,NA,NA
"635","BGM0065","2011","BR.BAG1.PT.11.EA1","1",4680,2020,2660,3167,1225,70.15,NA,NA
"636","BGM0065","2011","BR.BAG1.PT.11.EA1","2",4702,2065,2637,3091,1076,70.9,NA,NA
"637","BGM0066","2011","BR.BAG1.PT.11.EA1","1",4572,1888,2684,2524,688,67.75,NA,NA
"638","BGM0066","2011","BR.BAG1.PT.11.EA1","2",4572,1846,2726,2572,746,67.8,NA,NA
"639","BGM0067","2011","BR.BAG1.PT.11.EA1","1",5060,1110,3950,1635,525,66.95,NA,NA
"640","BGM0067","2011","BR.BAG1.PT.11.EA1","2",5061,1141,3920,1641,502,66.95,NA,NA
"641","BGM0068","2011","BR.BAG1.PT.11.EA1","1",4509,1840,2669,2811,990,70.2,NA,NA
"642","BGM0068","2011","BR.BAG1.PT.11.EA1","2",4539,1839,2700,2777,951,70.05,NA,NA
"643","BGM0069","2011","BR.BAG1.PT.11.EA1","1",4318,1751,2567,2791,1080,70.2,NA,NA
"644","BGM0069","2011","BR.BAG1.PT.11.EA1","2",4328,1793,2535,2844,1052,70.95,NA,NA
"645","BGM0070","2011","BR.BAG1.PT.11.EA1","1",4204,1563,2641,2369,847,68.6,NA,NA
"646","BGM0070","2011","BR.BAG1.PT.11.EA1","2",4191,1563,2628,2381,829,67.8,NA,NA
"647","BGM0072","2011","BR.BAG1.PT.11.EA1","1",4107,1773,2334,2789,1016,70.2,NA,NA
"648","BGM0072","2011","BR.BAG1.PT.11.EA1","2",4078,1731,2347,2786,1070,69.35,NA,NA
"649","BGM0073","2011","BR.BAG1.PT.11.EA1","1",4530,2031,2499,3114,1135,70.95,NA,NA
"650","BGM0073","2011","BR.BAG1.PT.11.EA1","2",4486,2050,2436,3144,1119,70.85,NA,NA
"651","BGM0074","2011","BR.BAG1.PT.11.EA1","1",4943.75,1911.25,3032.5,3147.5,1297,71.0125,NA,NA
"652","BGM0074","2011","BR.BAG1.PT.11.EA1","2",5025.8,1911.2,3114.6,3160.8,1302.6,70.69,NA,NA
"653","BGM0075","2011","BR.BAG1.PT.11.EA1","1",4117,1696,2421,2655,959,70.25,NA,NA
"654","BGM0075","2011","BR.BAG1.PT.11.EA1","2",4210,1749,2461,2733,986,70.2,NA,NA
"655","BGM0076","2011","BR.BAG1.PT.11.EA1","1",5035.83333333333,1848,3187.83333333333,2673.83333333333,874.666666666667,70.0083333333333,NA,NA
"656","BGM0076","2011","BR.BAG1.PT.11.EA1","2",5038.71428571429,1867.14285714286,3171.57142857143,2675.57142857143,857.571428571429,70.4071428571429,NA,NA
"657","BGM0077","2011","BR.BAG1.PT.11.EA1","1",4832,1893,2939,2846,997,66.25,NA,NA
"658","BGM0077","2011","BR.BAG1.PT.11.EA1","2",3808,1441,2367,2364,930,67.8,NA,NA
"659","BGM0078","2011","BR.BAG1.PT.11.EA1","1",4360,1741,2619,2782,1063,71,NA,NA
"660","BGM0078","2011","BR.BAG1.PT.11.EA1","2",4402,1771,2631,2851,1107,71,NA,NA
"661","BGM0079","2011","BR.BAG1.PT.11.EA1","1",4900.5,1698.5,3202,2653.83333333333,972.666666666667,70.0166666666667,NA,NA
"662","BGM0079","2011","BR.BAG1.PT.11.EA1","2",4737.16666666667,1610.66666666667,3126.5,2561.33333333333,958.666666666667,70.4666666666667,NA,NA
"663","BGM0080","2011","BR.BAG1.PT.11.EA1","1",4672.77777777778,1846.88888888889,2825.88888888889,3015.88888888889,1217.44444444444,70.6222222222222,NA,NA
"664","BGM0080","2011","BR.BAG1.PT.11.EA1","2",4676.1,1900.1,2776,3060.6,1213.1,70.585,NA,NA
"665","BGM0081","2011","BR.BAG1.PT.11.EA1","1",4034,1495,2539,2380,890,71.8,NA,NA
"666","BGM0081","2011","BR.BAG1.PT.11.EA1","2",3997,1497,2500,2391,897,71.8,NA,NA
"667","BGM0082","2011","BR.BAG1.PT.11.EA1","1",4488,1909,2579,2946,1037,73.35,NA,NA
"668","BGM0082","2011","BR.BAG1.PT.11.EA1","2",4407,1838,2569,2952,1128,71.75,NA,NA
"669","BGM0083","2011","BR.BAG1.PT.11.EA1","1",4254.5,1630.5,2624,2637.5,1026,71.375,NA,NA
"670","BGM0083","2011","BR.BAG1.PT.11.EA1","2",4232.5,1597.5,2635,2632,1069.5,71.375,NA,NA
"671","BGM0085","2011","BR.BAG1.PT.11.EA1","1",4565,1863,2702,2769,906,70.95,NA,NA
"672","BGM0085","2011","BR.BAG1.PT.11.EA1","2",4616,1831,2785,2832,1009,69.35,NA,NA
"673","BGM0087","2011","BR.BAG1.PT.11.EA1","1",4042,1491.5,2550.5,2428.5,941.5,68.525,NA,NA
"674","BGM0087","2011","BR.BAG1.PT.11.EA1","2",4151,1836,2315,2818.66666666667,993,70.5166666666667,NA,NA
"675","BGM0088","2011","BR.BAG1.PT.11.EA1","1",4603,1602,3001,2865,1271,70.35,NA,NA
"676","BGM0088","2011","BR.BAG1.PT.11.EA1","2",4540,1595,2945,2878,1289,71.15,NA,NA
"677","BGM0089","2011","BR.BAG1.PT.11.EA1","1",5131,1765,3366,3112,1374,70.2,NA,NA
"678","BGM0089","2011","BR.BAG1.PT.11.EA1","2",4745,1649,3096,2969,1351,70.2,NA,NA
"679","BGM0090","2011","BR.BAG1.PT.11.EA1","1",5217,1889,3328,3085,1196,69.25,NA,NA
"680","BGM0090","2011","BR.BAG1.PT.11.EA1","2",5246,1916,3330,3044,1128,70.2,NA,NA
"681","BGM0091","2011","BR.BAG1.PT.11.EA1","1",4848,1861,2987,2945,1087,69.3,NA,NA
"682","BGM0091","2011","BR.BAG1.PT.11.EA1","2",4819,1896,2923,2983,1093,70.95,NA,NA
"683","BGM0092","2011","BR.BAG1.PT.11.EA1","1",5128,1957,3171,3185,1279,69.3,NA,NA
"684","BGM0092","2011","BR.BAG1.PT.11.EA1","2",5062,2031,3031,3190,1175,70.2,NA,NA
"685","BGM0093","2011","BR.BAG1.PT.11.EA1","1",6003.5,2171,3832.5,3710.5,1583.5,65.8,NA,NA
"686","BGM0093","2011","BR.BAG1.PT.11.EA1","2",6038,2123.5,3914.5,3633.5,1597.5,66.15,NA,NA
"687","BGM0094","2011","BR.BAG1.PT.11.EA1","1",4562,1699,2863,2701,1015,71.875,NA,NA
"688","BGM0094","2011","BR.BAG1.PT.11.EA1","2",5947.5,1943,4004.5,3524.5,1609.5,70.75,NA,NA
"689","BGM0095","2011","BR.BAG1.PT.11.EA1","1",4331,1884,2447,3001,1117,69.25,NA,NA
"690","BGM0095","2011","BR.BAG1.PT.11.EA1","2",4401,1893,2508,2994,1119,70.15,NA,NA
"691","BGM0096","2011","BR.BAG1.PT.11.EA1","1",4920,1713,3207,2891,1180,70.25,NA,NA
"692","BGM0096","2011","BR.BAG1.PT.11.EA1","2",4913,1689,3224,2875,1232,70.2,NA,NA
"693","BGM0097","2011","BR.BAG1.PT.11.EA1","1",4426,1577,2849,2720,1143,69.45,NA,NA
"694","BGM0097","2011","BR.BAG1.PT.11.EA1","2",4206,1522,2684,2743,1221,70.15,NA,NA
"695","BGM0098","2011","BR.BAG1.PT.11.EA1","1",5094.5,1741.5,3353,2658.5,933.5,68.675,NA,NA
"696","BGM0098","2011","BR.BAG1.PT.11.EA1","2",5047,1698.5,3348.5,2617.5,932.5,68.925,NA,NA
"697","BGM0099","2011","BR.BAG1.PT.11.EA1","1",4788,1885,2903,3110,1250,68.6,NA,NA
"698","BGM0099","2011","BR.BAG1.PT.11.EA1","2",4975,1959,3016,3132,1229,68.6,NA,NA
"699","BGM0100","2011","BR.BAG1.PT.11.EA1","1",4730,1839,2891,3103,1353,70.25,NA,NA
"700","BGM0100","2011","BR.BAG1.PT.11.EA1","2",4710,1846,2864,3061,1284,70.05,NA,NA
"701","BGM0101","2011","BR.BAG1.PT.11.EA1","1",4840,1763,3077,2894,1161,71.95,NA,NA
"702","BGM0101","2011","BR.BAG1.PT.11.EA1","2",4823,1783,3040,2929,1148,71.85,NA,NA
"703","BGM0102","2011","BR.BAG1.PT.11.EA1","1",4192,1609,2583,2563,978,71.75,NA,NA
"704","BGM0102","2011","BR.BAG1.PT.11.EA1","2",4194,1635,2559,2566,957,72.6,NA,NA
"705","BGM0103","2011","BR.BAG1.PT.11.EA1","1",4618,1754,2864,2937,1186,70.2,NA,NA
"706","BGM0103","2011","BR.BAG1.PT.11.EA1","2",4629,1750,2879,2965,1229,70.2,NA,NA
"707","BGM0104","2011","BR.BAG1.PT.11.EA1","1",5162,2020,3142,3269,1290,70.85,NA,NA
"708","BGM0104","2011","BR.BAG1.PT.11.EA1","2",5213,1992,3221,3326,1348,71,NA,NA
"709","BGM0108","2011","BR.BAG1.PT.11.EA1","1",4695,1691,3004,2812,1131,70.2,NA,NA
"710","BGM0108","2011","BR.BAG1.PT.11.EA1","2",4714,1688,3026,2781,1096,70.2,NA,NA
"711","BGM0110","2011","BR.BAG1.PT.11.EA1","1",5130,1877,3253,3200,1509,70.2,NA,NA
"712","BGM0110","2011","BR.BAG1.PT.11.EA1","2",4744,1772,2972,3170,1521,70.2,NA,NA
"713","BGM0111","2011","BR.BAG1.PT.11.EA1","1",5101,1905,3196,2752,850,68.55,NA,NA
"714","BGM0111","2011","BR.BAG1.PT.11.EA1","2",4962,1800,3162,2717,925,67.85,NA,NA
"715","BGM0114","2011","BR.BAG1.PT.11.EA1","1",5628,2438,3190,3701,1416,68.5,NA,NA
"716","BGM0114","2011","BR.BAG1.PT.11.EA1","2",5556,2377,3179,3457,1420,67.7,NA,NA
"717","BGM0115","2011","BR.BAG1.PT.11.EA1","1",4566,1762,2804,2931,1196,68.4,NA,NA
"718","BGM0115","2011","BR.BAG1.PT.11.EA1","2",4513,1653,2860,2897,1282,68.4,NA,NA
"719","BGM0116","2011","BR.BAG1.PT.11.EA1","1",4772.07692307692,1634.38461538462,3137.69230769231,2578.92307692308,956.846153846154,70.2230769230769,NA,NA
"720","BGM0116","2011","BR.BAG1.PT.11.EA1","2",4795.85714285714,1642.64285714286,3153.21428571429,2582.85714285714,951.571428571429,69.9928571428571,NA,NA
"721","BGM0120","2011","BR.BAG1.PT.11.EA1","1",4697.5,1800.5,2897,2894.5,1136.5,69.4,NA,NA
"722","BGM0120","2011","BR.BAG1.PT.11.EA1","2",4746,1785.5,2960.5,2911,1154.5,70.2,NA,NA
"723","BGM0121","2011","BR.BAG1.PT.11.EA1","1",5431,1885,3546,3507,1688,68.4,NA,NA
"724","BGM0121","2011","BR.BAG1.PT.11.EA1","2",5405,1832,3573,3597,1833,68.4,NA,NA
"725","BGM0123","2011","BR.BAG1.PT.11.EA1","1",3801,1490,2311,2706,1216,71.95,NA,NA
"726","BGM0123","2011","BR.BAG1.PT.11.EA1","2",3793,1517,2276,2655,1138,72.7,NA,NA
"727","BGM0124","2011","BR.BAG1.PT.11.EA1","1",4912,1813,3099,2992,1200,69.3,NA,NA
"728","BGM0124","2011","BR.BAG1.PT.11.EA1","2",4971,1768,3203,2959,1211,68.4,NA,NA
"729","BGM0125","2011","BR.BAG1.PT.11.EA1","1",4699,1809,2890,3018,1276,70.95,NA,NA
"730","BGM0125","2011","BR.BAG1.PT.11.EA1","2",4875,1883,2992,3065,1331,70.95,NA,NA
"731","BGM0126","2011","BR.BAG1.PT.11.EA1","1",5046,1909,3137,3184,1298,70.2,NA,NA
"732","BGM0126","2011","BR.BAG1.PT.11.EA1","2",5065,1934,3131,3170,1242,70.9,NA,NA
"733","BGM0127","2011","BR.BAG1.PT.11.EA1","1",4917,1832,3085,2804,1042,68.6,NA,NA
"734","BGM0127","2011","BR.BAG1.PT.11.EA1","2",4867,1812,3055,2848,1069,67.85,NA,NA
"735","BGM0128","2011","BR.BAG1.PT.11.EA1","1",4946.5,1952,2994.5,3074,1151,69.375,NA,NA
"736","BGM0128","2011","BR.BAG1.PT.11.EA1","2",4990,1955.5,3034.5,3119.5,1175,69.075,NA,NA
"737","BGM0129","2011","BR.BAG1.PT.11.EA1","1",4934,1659,3275,3166,1559,68.65,NA,NA
"738","BGM0129","2011","BR.BAG1.PT.11.EA1","2",4778,1697,3081,3092,1431,68.55,NA,NA
"739","BGM0130","2011","BR.BAG1.PT.11.EA1","1",4801,1846,2955,3083,1294,71.05,NA,NA
"740","BGM0130","2011","BR.BAG1.PT.11.EA1","2",4849,1891,2958,3074,1248,71.75,NA,NA
"741","BGM0132","2011","BR.BAG1.PT.11.EA1","1",4944,2064,2880,2934,887,69.35,NA,NA
"742","BGM0132","2011","BR.BAG1.PT.11.EA1","2",4916,2061,2855,2920,876,68.4,NA,NA
"743","BGM0134","2011","BR.BAG1.PT.11.EA1","1",4708,1649,3059,2766,1131,73.5,NA,NA
"744","BGM0134","2011","BR.BAG1.PT.11.EA1","2",4744,1619,3125,2776,1198,71.8,NA,NA
"745","BGM0135","2011","BR.BAG1.PT.11.EA1","1",5190,1880,3310,3179.5,1373,68.625,NA,NA
"746","BGM0135","2011","BR.BAG1.PT.11.EA1","2",5497.5,1994,3503.5,3319,1358.5,67.8,NA,NA
"747","BGM0136","2011","BR.BAG1.PT.11.EA1","1",5158,1709,3449,3263,1615,67.8,NA,NA
"748","BGM0136","2011","BR.BAG1.PT.11.EA1","2",5290,1031,4259,3292,2342,67.8,NA,NA
"749","BGM0137","2011","BR.BAG1.PT.11.EA1","1",4727,1740.66666666667,2986.33333333333,2814,1094.33333333333,70.15,NA,NA
"750","BGM0137","2011","BR.BAG1.PT.11.EA1","2",4702.66666666667,1738,2964.66666666667,2806.33333333333,1079,70.4166666666667,NA,NA
"751","BGM0138","2011","BR.BAG1.PT.11.EA1","1",4622,1688,2934,2717,1056,70.15,NA,NA
"752","BGM0138","2011","BR.BAG1.PT.11.EA1","2",4560,1682,2878,2709,1036,70.25,NA,NA
"753","BGM0139","2011","BR.BAG1.PT.11.EA1","1",5183,1858,3325,2787,940,70.15,NA,NA
"754","BGM0139","2011","BR.BAG1.PT.11.EA1","2",5188,2017,3171,2761,788,71.15,NA,NA
"755","BGM0140","2011","BR.BAG1.PT.11.EA1","1",4471,1692,2779,2756,1089,71.05,NA,NA
"756","BGM0140","2011","BR.BAG1.PT.11.EA1","2",4647,1745,2902,2749,1090,70.15,NA,NA
"757","BGM0141","2011","BR.BAG1.PT.11.EA1","1",4408,1707,2701,2519,829,70.2,NA,NA
"758","BGM0141","2011","BR.BAG1.PT.11.EA1","2",4403,1635,2768,2568,943,68.6,NA,NA
"759","BGM0143","2011","BR.BAG1.PT.11.EA1","1",5269,1859,3410,2971,1112,69.025,NA,NA
"760","BGM0143","2011","BR.BAG1.PT.11.EA1","2",5294.5,1883,3411.5,3003,1134.5,69.05,NA,NA
"761","BGM0144","2011","BR.BAG1.PT.11.EA1","1",4914,1543,3371,2310,778,68.4,NA,NA
"762","BGM0144","2011","BR.BAG1.PT.11.EA1","2",4797,1511,3286,2337,834,67.8,NA,NA
"763","BGM0145","2011","BR.BAG1.PT.11.EA1","1",4895,1693,3202,2826,1133,70.95,NA,NA
"764","BGM0145","2011","BR.BAG1.PT.11.EA1","2",4869,1641,3228,2846,1213,69.3,NA,NA
"765","BGM0146","2011","BR.BAG1.PT.11.EA1","1",4494,1705,2789,2791,1097,71,NA,NA
"766","BGM0146","2011","BR.BAG1.PT.11.EA1","2",4551,1733,2818,2822,1124,71.8,NA,NA
"767","BGM0147","2011","BR.BAG1.PT.11.EA1","1",5064,2072,2992,3248,1306,71.7,NA,NA
"768","BGM0147","2011","BR.BAG1.PT.11.EA1","2",4953,2017,2936,3257,1429,71.75,NA,NA
"769","BGM0148","2011","BR.BAG1.PT.11.EA1","1",4689,1899,2790,2960,1264,71,NA,NA
"770","BGM0148","2011","BR.BAG1.PT.11.EA1","2",4815,1965,2850,2880,1091,70.9,NA,NA
"771","BGM0149","2011","BR.BAG1.PT.11.EA1","1",5015,1943,3072,3084,1146,69.3,NA,NA
"772","BGM0149","2011","BR.BAG1.PT.11.EA1","2",4917,1916,3001,3006,1094,69.4,NA,NA
"773","BGM0150","2011","BR.BAG1.PT.11.EA1","1",4809,1695,3114,2458,782,70.25,NA,NA
"774","BGM0150","2011","BR.BAG1.PT.11.EA1","2",4783,1675,3108,2393,743,71,NA,NA
"775","BGM0151","2011","BR.BAG1.PT.11.EA1","1",4923,1933,2990,2825,910,70.2,NA,NA
"776","BGM0151","2011","BR.BAG1.PT.11.EA1","2",4779,1914,2865,2785,876,70.1,NA,NA
"777","BGM0152","2011","BR.BAG1.PT.11.EA1","1",5084,1894,3190,3113,1346,70.2,NA,NA
"778","BGM0152","2011","BR.BAG1.PT.11.EA1","2",5138,1903,3235,3121,1330,69.3,NA,NA
"779","BGM0153","2011","BR.BAG1.PT.11.EA1","1",4958,1600,3358,2657,1057,68.4,NA,NA
"780","BGM0153","2011","BR.BAG1.PT.11.EA1","2",4954,1616,3338,2660,1044,68.4,NA,NA
"781","BGM0155","2011","BR.BAG1.PT.11.EA1","1",4962.5,2181.5,2781,2956.5,867.5,68.175,NA,NA
"782","BGM0155","2011","BR.BAG1.PT.11.EA1","2",4781.5,1845,2936.5,3007.5,1240,70.15,NA,NA
"783","BGM0156","2011","BR.BAG1.PT.11.EA1","1",4818,1567,3251,2698,1150,70.95,NA,NA
"784","BGM0156","2011","BR.BAG1.PT.11.EA1","2",4795,1573,3222,2711,1153,70.95,NA,NA
"785","BGM0157","2011","BR.BAG1.PT.11.EA1","1",4543,1577,2966,2686,1125,68.4,NA,NA
"786","BGM0157","2011","BR.BAG1.PT.11.EA1","2",4468,1594,2874,2728,1156,68.4,NA,NA
"787","BGM0159","2011","BR.BAG1.PT.11.EA1","1",4897,1952,2945,3163,1308,70.2,NA,NA
"788","BGM0159","2011","BR.BAG1.PT.11.EA1","2",4892,1961,2931,3158,1249,69.3,NA,NA
"789","BGM0160","2011","BR.BAG1.PT.11.EA1","1",5021,1935,3086,3160,1305,68.4,NA,NA
"790","BGM0160","2011","BR.BAG1.PT.11.EA1","2",4909,1908,3001,3122,1343,69.3,NA,NA
"791","BGM0161","2011","BR.BAG1.PT.11.EA1","1",3951,1562,2389,2448,968,68.4,NA,NA
"792","BGM0161","2011","BR.BAG1.PT.11.EA1","2",4291,1718,2573,2609,951,68.4,NA,NA
"793","BGM0162","2011","BR.BAG1.PT.11.EA1","1",5007,1777,3230,2694,917,67.75,NA,NA
"794","BGM0162","2011","BR.BAG1.PT.11.EA1","2",5036,1807,3229,2741,934,68.55,NA,NA
"795","BGM0163","2011","BR.BAG1.PT.11.EA1","1",4510,1827,2683,2924,1150,70.95,NA,NA
"796","BGM0163","2011","BR.BAG1.PT.11.EA1","2",4470,1703,2767,2835,1201,69.3,NA,NA
